Monat_Jahr;Abfallfraktion;Unterkategorie;Entsorgungsart;Abfuhrgebiet;Annahmestelle;Deponie Anlieferung;Gewicht in kg;Gewicht in t
2022-02;Kehricht;;;;;;1173930.0;1173.93
2022-02;Grüngut;;Annahmestelle;;Deponie Tüfentobel;Privatanlieferer;720.0;0.72
2022-01;Sonderabfall;Farben wässrig;Annahmestelle;;Apotheken / Drogerien;;9.0;0.009
2022-01;Sonderabfall;Chemikalien;Annahmestelle;;Apotheken / Drogerien;;25.0;0.025
2022-02;Sonderabfall;Säuren;Annahmestelle;;Apotheken / Drogerien;;10.0;0.01
2022-02;Sonderabfall;Chemikalien;Annahmestelle;;Apotheken / Drogerien;;12.0;0.012
2022-02;Glas;Braunglas;Annahmestelle;;Sammelstellen;;35300.0;35.3
2022-01;Karton;;Strassensammlung;;;;4320.0;4.32
2022-01;Karton;;Strassensammlung;;;;3200.0;3.2
2022-01;Papier;;Strassensammlung;;;;8050.0;8.05
2022-01;Karton;;Strassensammlung;;;;4180.0;4.18
2022-01;Karton;;Strassensammlung;;;;4530.0;4.53
2022-01;Karton;;Strassensammlung;;;;3170.0;3.17
2022-01;Karton;;Strassensammlung;;;;4800.0;4.8
2022-01;Papier;;Annahmestelle;;RE Ost;;8030.0;8.03
2022-01;Karton;;Annahmestelle;;RE Ost;;3180.0;3.18
2022-01;Karton;;Annahmestelle;;RE Ost;;4590.0;4.59
2022-01;Karton;;Annahmestelle;;RE Ost;;3560.0;3.56
2022-01;Karton;;Annahmestelle;;RE Ost;;4140.0;4.14
2022-01;Karton;;Annahmestelle;;RE West;;1640.0;1.64
2022-01;Papier;;Annahmestelle;;RE West;;3450.0;3.45
2022-01;Papier;;Annahmestelle;;RE West;;3150.0;3.15
2022-01;Karton;;Annahmestelle;;RE West;;1020.0;1.02
2022-01;Altmetall;;Annahmestelle;;Werkhof Wiedacker;;190.0;0.19
2022-02;Papier;;Strassensammlung;;;;6420.0;6.42
2022-02;Karton;;Strassensammlung;;;;4040.0;4.04
2022-02;Papier;;Strassensammlung;;;;6990.0;6.99
2022-02;Karton;;Strassensammlung;;;;2660.0;2.66
2022-02;Papier;;Strassensammlung;;;;6380.0;6.38
2022-02;Papier;;Annahmestelle;;RE Ost;;12450.0;12.45
