Pickup Punkte;Tour;Aufnahmedatum der Tour;geo_point_2d
"{""coordinates"": [9.32552631649531, 47.4073296730119], ""type"": ""Point""}";Tour 101;2016-02-29;47.4073296730119, 9.32552631649531
"{""coordinates"": [9.32459156659792, 47.4016326607247], ""type"": ""Point""}";Tour 101;2016-02-29;47.4016326607247, 9.32459156659792
"{""coordinates"": [9.31718598706638, 47.4062205795181], ""type"": ""Point""}";Tour 101;2016-02-29;47.4062205795181, 9.31718598706638
"{""coordinates"": [9.31321765859232, 47.4049666467289], ""type"": ""Point""}";Tour 101;2016-02-29;47.4049666467289, 9.31321765859232
"{""coordinates"": [9.31299503523081, 47.4049304369051], ""type"": ""Point""}";Tour 101;2016-02-29;47.4049304369051, 9.31299503523081
"{""coordinates"": [9.3125618584491, 47.4056599978006], ""type"": ""Point""}";Tour 101;2016-02-29;47.4056599978006, 9.3125618584491
"{""coordinates"": [9.32212661636629, 47.4103820270527], ""type"": ""Point""}";Tour 101;2016-02-29;47.4103820270527, 9.32212661636629
"{""coordinates"": [9.30637534298751, 47.4038240256205], ""type"": ""Point""}";Tour 101;2016-02-29;47.4038240256205, 9.30637534298751
"{""coordinates"": [9.30930967982468, 47.4036939384755], ""type"": ""Point""}";Tour 101;2016-02-29;47.4036939384755, 9.30930967982468
"{""coordinates"": [9.30421348239264, 47.4053488615363], ""type"": ""Point""}";Tour 101;2016-02-29;47.4053488615363, 9.30421348239264
"{""coordinates"": [9.31040402116798, 47.4134129234203], ""type"": ""Point""}";Tour 101;2016-02-29;47.4134129234203, 9.31040402116798
"{""coordinates"": [9.31211795283068, 47.4130307086128], ""type"": ""Point""}";Tour 101;2016-02-29;47.4130307086128, 9.31211795283068
"{""coordinates"": [9.31793432342616, 47.4075321798046], ""type"": ""Point""}";Tour 101;2016-02-29;47.4075321798046, 9.31793432342616
"{""coordinates"": [9.31858878246479, 47.4075831417789], ""type"": ""Point""}";Tour 101;2016-02-29;47.4075831417789, 9.31858878246479
"{""coordinates"": [9.303259957031, 47.4041794183361], ""type"": ""Point""}";Tour 101;2016-02-29;47.4041794183361, 9.303259957031
"{""coordinates"": [9.30435295726971, 47.4043296220499], ""type"": ""Point""}";Tour 101;2016-02-29;47.4043296220499, 9.30435295726971
"{""coordinates"": [9.30326398034478, 47.4027846695652], ""type"": ""Point""}";Tour 101;2016-02-29;47.4027846695652, 9.30326398034478
"{""coordinates"": [9.30045302512963, 47.4037073495214], ""type"": ""Point""}";Tour 101;2016-02-29;47.4037073495214, 9.30045302512963
"{""coordinates"": [9.30343430062737, 47.4017667711834], ""type"": ""Point""}";Tour 101;2016-02-29;47.4017667711834, 9.30343430062737
"{""coordinates"": [9.30018748642132, 47.4029831530442], ""type"": ""Point""}";Tour 101;2016-02-29;47.4029831530442, 9.30018748642132
