Geo Point;Geo Shape;Gebiet;Verkaufsstelle;Adresse
47.424610537116926, 9.379431863972135;"{""coordinates"": [9.379431863972135, 47.424610537116926], ""type"": ""Point""}";Zentrum;Stern-Apotheke;Burggraben 25a.01
47.425723897200356, 9.360568297675917;"{""coordinates"": [9.360568297675917, 47.425723897200356], ""type"": ""Point""}";Schoren;Bäckerei Schwyter AG;Schorenstrasse 74.01
47.407772505303754, 9.304646653046854;"{""coordinates"": [9.304646653046854, 47.407772505303754], ""type"": ""Point""}";Winkeln;Coop Vitality Apotheke;Zürcher Strasse 513.99
47.42233377361018, 9.376482176183817;"{""coordinates"": [9.376482176183817, 47.42233377361018], ""type"": ""Point""}";Zentrum;Kloster-Drogerie;Auf dem Damm 17.01
47.40905140065939, 9.331563434962465;"{""coordinates"": [9.331563434962465, 47.40905140065939], ""type"": ""Point""}";Bruggen;Bruggen-Apotheke;Fürstenlandstrasse 185.01
47.4200850762609, 9.353719354283488;"{""coordinates"": [9.353719354283488, 47.4200850762609], ""type"": ""Point""}";Lachen;Lachen-Drogerie;Zürcher Strasse 513.99
47.402884540691524, 9.301859778662513;"{""coordinates"": [9.301859778662513, 47.402884540691524], ""type"": ""Point""}";Winkeln;Bäckerei Gschwend;Herisauer Strasse 70.99
47.4231101564599, 9.373159834772595;"{""coordinates"": [9.373159834772595, 47.4231101564599], ""type"": ""Point""}";Zentrum;Kundencenter Stadtwerke;Vadianstrasse 29.99
47.437017673018154, 9.405860133210906;"{""coordinates"": [9.405860133210906, 47.437017673018154], ""type"": ""Point""}";Neudorf;Kiosk Neudorf;Rorschacher Strasse 280.99
47.43523027292042, 9.386135346132109;"{""coordinates"": [9.386135346132109, 47.43523027292042], ""type"": ""Point""}";Langasse;Apotheke an der Langgasse;Langgasse 167a.01
47.435619392095035, 9.392397303566925;"{""coordinates"": [9.392397303566925, 47.435619392095035], ""type"": ""Point""}";St.Fiden;Kiosk Migros Bach;Bachstrasse 36.05
47.429894273022455, 9.379740702214285;"{""coordinates"": [9.379740702214285, 47.429894273022455], ""type"": ""Point""}";Zentrum;St.Jakob-Apotheke;St.Jakob-Strasse 80.99
47.417279679432156, 9.35903474593749;"{""coordinates"": [9.35903474593749, 47.417279679432156], ""type"": ""Point""}";St.Otmar;Metzgerei Signer;Vonwilstrasse 51a.99
47.42743109956062, 9.376030002270586;"{""coordinates"": [9.376030002270586, 47.42743109956062], ""type"": ""Point""}";Zentrum;Velo Stern;Magnihalden 8.99
47.4255553618676, 9.375310703054152;"{""coordinates"": [9.375310703054152, 47.4255553618676], ""type"": ""Point""}";Zentrum;Alpstein-Drogerie;Neugasse 37.99
47.42444159505239, 9.378693413308032;"{""coordinates"": [9.378693413308032, 47.42444159505239], ""type"": ""Point""}";Zentrum;Drogerie und Reformhaus;Spisergasse 16.99
47.423181640584666, 9.374088066144047;"{""coordinates"": [9.374088066144047, 47.423181640584666], ""type"": ""Point""}";Zentrum;Gallus Apotheke;Oberer Graben 18.99
47.42622324803147, 9.375230364597375;"{""coordinates"": [9.375230364597375, 47.42622324803147], ""type"": ""Point""}";Zentrum;Löwen-Apotheke;Marktplatz 3.99
47.41152645093092, 9.366732193611675;"{""coordinates"": [9.366732193611675, 47.41152645093092], ""type"": ""Point""}";Zentrum;Bäckerei Schwyter;Teufener Strasse 103a.99
47.40802153232136, 9.329423403292695;"{""coordinates"": [9.329423403292695, 47.40802153232136], ""type"": ""Point""}";Bruggen;Bäckerei-Konditorei;Zürcher Strasse 513.99
47.40270904431919, 9.336695573338734;"{""coordinates"": [9.336695573338734, 47.40270904431919], ""type"": ""Point""}";Haggen;Sparmarkt Wolfganghof;Wolfganghof 19.02
47.43969169337936, 9.37978444966662;"{""coordinates"": [9.37978444966662, 47.43969169337936], ""type"": ""Point""}";Rotmonten;Müller, lebe deinen Genuss;Guisanstrasse 93.01
47.42412664546311, 9.371776487897304;"{""coordinates"": [9.371776487897304, 47.42412664546311], ""type"": ""Point""}";Zentrum;CareLand  Apotheke;Poststrasse 28.99
47.430966547966, 9.394925773479883;"{""coordinates"": [9.394925773479883, 47.430966547966], ""type"": ""Point""}";St.Fiden;Kiosk Shopping Silberturm;Rorschacher Strasse 280.99
