Datum;Jahr;Monat;Tag;Anzahl Marken pro Sperrgut
2021-05-31;2021;Mai;Mo;Sperrgut > 6 Marken
2021-05-14;2021;Mai;Fr;Sperrgut 4 Marken
2021-05-17;2021;Mai;Mo;Sperrgut 4 Marken
2021-05-17;2021;Mai;Mo;Sperrgut 5 Marken
2021-05-17;2021;Mai;Mo;Sperrgut 2 Marken
2021-05-18;2021;Mai;Di;Sperrgut 1 Marke
2021-05-19;2021;Mai;Mi;Sperrgut 1 Marke
2021-05-20;2021;Mai;Do;Sperrgut 2 Marken
2021-05-21;2021;Mai;Fr;Sperrgut 3 Marken
2021-05-25;2021;Mai;Di;Sperrgut 3 Marken
2021-05-25;2021;Mai;Di;Sperrgut 1 Marke
2021-05-26;2021;Mai;Mi;Sperrgut 1 Marke
2021-05-26;2021;Mai;Mi;Sperrgut 3 Marken
2021-05-28;2021;Mai;Fr;Sperrgut 1 Marke
2021-05-31;2021;Mai;Mo;Sperrgut 3 Marken
2021-06-25;2021;Juni;Fr;Sperrgut 3 Marken
2021-06-29;2021;Juni;Di;Sperrgut ohne Marke
2021-06-29;2021;Juni;Di;Sperrgut > 6 Marken
2021-06-29;2021;Juni;Di;Sperrgut 5 Marken
2021-06-17;2021;Juni;Do;Sperrgut 6 Marken
2021-06-21;2021;Juni;Mo;Sperrgut 3 Marken
2021-06-24;2021;Juni;Do;Sperrgut 5 Marken
2021-06-24;2021;Juni;Do;Sperrgut 2 Marken
2021-06-02;2021;Juni;Mi;Sperrgut 5 Marken
2021-06-03;2021;Juni;Do;Sperrgut > 6 Marken
2021-06-10;2021;Juni;Do;Sperrgut 5 Marken
2021-06-18;2021;Juni;Fr;Sperrgut 2 Marken
2021-06-24;2021;Juni;Do;Sperrgut 6 Marken
2021-06-01;2021;Juni;Di;Sperrgut 1 Marke
2021-06-02;2021;Juni;Mi;Sperrgut 1 Marke
2021-06-03;2021;Juni;Do;Sperrgut 1 Marke
2021-06-07;2021;Juni;Mo;Sperrgut 1 Marke
2021-06-08;2021;Juni;Di;Sperrgut 1 Marke
2021-06-11;2021;Juni;Fr;Sperrgut 2 Marken
2021-06-15;2021;Juni;Di;Sperrgut 3 Marken
2021-06-15;2021;Juni;Di;Sperrgut 2 Marken
2021-06-21;2021;Juni;Mo;Sperrgut 2 Marken
2021-06-22;2021;Juni;Di;Sperrgut 6 Marken
2021-06-23;2021;Juni;Mi;Sperrgut 2 Marken
2021-06-24;2021;Juni;Do;Sperrgut 4 Marken
2021-06-29;2021;Juni;Di;Sperrgut 3 Marken
2021-07-07;2021;Juli;Mi;Sperrgut ohne Marke
2021-07-08;2021;Juli;Do;Sperrgut 2 Marken
2021-07-09;2021;Juli;Fr;
2021-07-27;2021;Juli;Di;Sperrgut 4 Marken
2021-07-01;2021;Juli;Do;Sperrgut ohne Marke
2021-07-07;2021;Juli;Mi;Sperrgut 4 Marken
2021-07-14;2021;Juli;Mi;Sperrgut > 6 Marken
2021-07-15;2021;Juli;Do;Sperrgut ohne Marke
2021-07-19;2021;Juli;Mo;Sperrgut 2 Marken
2021-07-19;2021;Juli;Mo;Sperrgut 1 Marke
2021-07-21;2021;Juli;Mi;Sperrgut 1 Marke
2021-07-26;2021;Juli;Mo;Sperrgut ohne Marke
2021-07-28;2021;Juli;Mi;Sperrgut > 6 Marken
2021-07-29;2021;Juli;Do;Sperrgut ohne Marke
2021-07-30;2021;Juli;Fr;Sperrgut 1 Marke
2021-07-01;2021;Juli;Do;Sperrgut > 6 Marken
2021-07-06;2021;Juli;Di;Sperrgut ohne Marke
2021-07-13;2021;Juli;Di;Sperrgut 3 Marken
2021-07-23;2021;Juli;Fr;Sperrgut 2 Marken
2021-07-26;2021;Juli;Mo;Sperrgut 2 Marken
2021-07-26;2021;Juli;Mo;Sperrgut 1 Marke
2021-07-27;2021;Juli;Di;Sperrgut 3 Marken
2021-07-28;2021;Juli;Mi;Sperrgut 4 Marken
2021-07-01;2021;Juli;Do;Sperrgut 3 Marken
2021-07-02;2021;Juli;Fr;Sperrgut 2 Marken
2021-07-05;2021;Juli;Mo;Sperrgut 4 Marken
2021-07-05;2021;Juli;Mo;Sperrgut 1 Marke
2021-07-06;2021;Juli;Di;Sperrgut 1 Marke
