Kunde;Lieferdatum;Jahr;Eingang;Ausgang;Total an Lager ESG;Preis pro Büchlein;Betrag in SFr.;Lieferungsart;Rechnungsart
Denner Satellit;2016-02-01;2016;;5;;;411.5;gebracht;Rechnung
Bäckerei Schwyter Schoren;2016-02-09;2016;;2;;;164.6;gebracht;Rechnung
Bäckerei Frei;2016-02-10;2016;;4;;;329.2;gebracht;Rechnung
Coop Vitality Apotheke EKZ Lerchenfeld;2016-02-22;2016;;20;;;1646.0;gebracht;Rechnung
Kiosk Silberturm;2016-02-23;2016;;20;;;1646.0;gebracht;Rechnung
St.Jakob-Apotheke;2016-02-25;2016;;10;;;823.0;gebracht;Rechnung
Agrola Shop Riethüsli;2016-03-09;2016;;5;;;411.5;gebracht;Rechnung
Bäckerei Wernli;2016-03-17;2016;;3;;;246.89999999999998;gebracht;Rechnung
Alpstein Drogerie;2016-03-23;2016;;30;;;2469.0;gebracht;Rechnung
Bäckerei Gschwend;2016-04-05;2016;;3;;;246.89999999999998;gebracht;Rechnung
Maxi Markt;2016-04-06;2016;;5;;;411.5;gebracht;Rechnung
Bäckerei Schwyter Schoren;2016-04-12;2016;;3;;;246.89999999999998;gebracht;Rechnung
Metzgerei Bechinger;2016-04-19;2016;;10;;;823.0;gebracht;Rechnung
Amavita Apotheke Poststrasse;2016-04-25;2016;;4;;;329.2;abgeholt;Rechnung
Gallus Apotheke;2016-04-27;2016;;2;;;164.6;abgeholt;Rechnung
Bäckerei Gschwend;2016-05-02;2016;;5;;;411.5;gebracht;Rechnung
St.Fiden-Apotheke;2016-05-02;2016;;4;;;329.2;gebracht;Rechnung
Kiosk Silberturm;2016-05-03;2016;;10;;;823.0;gebracht;Rechnung
CareLand Apotheke;2016-05-18;2016;;15;;;1234.5;gebracht;Rechnung
St.Fiden-Apotheke;2016-05-18;2016;;4;;;329.2;gebracht;Rechnung
Amavita Apotheke Poststrasse;2016-05-24;2016;;6;;;493.79999999999995;abgeholt;Rechnung
Drogerie Lachen;2016-05-26;2016;;20;;;1646.0;gebracht;Rechnung
Drogerie und Reformhaus Spisergasse;2016-05-26;2016;;7;;;576.1;gebracht;Rechnung
Denner Satellit;2016-06-07;2016;;5;;;411.5;gebracht;Rechnung
Bäckerei Schwyter Schoren;2016-06-08;2016;;2;;;164.6;gebracht;Rechnung
VBSG-Verkaufsstelle;2016-06-08;2016;;30;;;2469.0;gebracht;Rechnung
Kundencenter sgsw;2016-06-15;2016;;20;;;1646.0;gebracht;Rechnung
Langgass-Drogerie;2016-06-15;2016;;10;;;823.0;gebracht;Rechnung
