Geo Point;Geo Shape;Standort;anzeigesta
47.427596297301164, 9.391911146312031;"{""coordinates"": [9.391911146312031, 47.427596297301164], ""type"": ""Point""}";Birnbäumenstrasse 50;1
47.42832520407922, 9.393741542932872;"{""coordinates"": [9.393741542932872, 47.42832520407922], ""type"": ""Point""}";Flurhofstrasse 50;1
47.425470224587315, 9.385943230528415;"{""coordinates"": [9.385943230528415, 47.425470224587315], ""type"": ""Point""}";Axensteinstrasse;1
47.42638088303757, 9.384305477808763;"{""coordinates"": [9.384305477808763, 47.42638088303757], ""type"": ""Point""}";Schwalbenstrasse;1
47.42426799033763, 9.381361302043272;"{""coordinates"": [9.381361302043272, 47.42426799033763], ""type"": ""Point""}";Linsebühlstrasse 24;1
47.41328103320174, 9.362747992289641;"{""coordinates"": [9.362747992289641, 47.41328103320174], ""type"": ""Point""}";Hochwachtstrasse 1;1
47.415133272777275, 9.395535875282722;"{""coordinates"": [9.395535875282722, 47.415133272777275], ""type"": ""Point""}";St.Georgen-Strasse 190;1
47.41442108873599, 9.399044988281814;"{""coordinates"": [9.399044988281814, 47.41442108873599], ""type"": ""Point""}";St.Georgen-Strasse 218;1
47.41950486094242, 9.36689436504738;"{""coordinates"": [9.36689436504738, 47.41950486094242], ""type"": ""Point""}";Davidstrasse 46;1
47.41418537167867, 9.34155554691861;"{""coordinates"": [9.34155554691861, 47.41418537167867], ""type"": ""Point""}";Eisbahnstrasse 9;1
47.402374263434055, 9.336005831534871;"{""coordinates"": [9.336005831534871, 47.402374263434055], ""type"": ""Point""}";Wolfganghof 13;1
47.40156643791688, 9.334009552955045;"{""coordinates"": [9.334009552955045, 47.40156643791688], ""type"": ""Point""}";Wolfganghof 19;1
47.4290527567822, 9.391468513627444;"{""coordinates"": [9.391468513627444, 47.4290527567822], ""type"": ""Point""}";Steigerstr. / Schwanenstr. 12;1
47.40394034972227, 9.341910599063207;"{""coordinates"": [9.341910599063207, 47.40394034972227], ""type"": ""Point""}";Haselstrasse 15 a;1
47.4119375679048, 9.363254104782028;"{""coordinates"": [9.363254104782028, 47.4119375679048], ""type"": ""Point""}";Gerhardtstrasse 4;1
47.40684883294595, 9.316443904267427;"{""coordinates"": [9.316443904267427, 47.40684883294595], ""type"": ""Point""}";Sonnmattstrasse 33;1
47.43420418193013, 9.409988047577752;"{""coordinates"": [9.409988047577752, 47.43420418193013], ""type"": ""Point""}";Fuchsenweg;1
47.447076283878495, 9.404882647396823;"{""coordinates"": [9.404882647396823, 47.447076283878495], ""type"": ""Point""}";Guggeienhof 1;1
47.44852924264477, 9.415029490719673;"{""coordinates"": [9.415029490719673, 47.44852924264477], ""type"": ""Point""}";Brauerstrasse 107, Gartenareal;1
47.43231730578533, 9.388870555592186;"{""coordinates"": [9.388870555592186, 47.43231730578533], ""type"": ""Point""}";Lindenstrasse 35 / 39;1
47.41798901496054, 9.348884538134016;"{""coordinates"": [9.348884538134016, 47.41798901496054], ""type"": ""Point""}";Leuenbergerstrasse 12;1
47.40802602824334, 9.341015357585489;"{""coordinates"": [9.341015357585489, 47.40802602824334], ""type"": ""Point""}";Bernhardswiesstrasse 16;1
47.408458097491206, 9.34162356046977;"{""coordinates"": [9.34162356046977, 47.408458097491206], ""type"": ""Point""}";Bernhardswiesstrasse 14;1
47.40238630050826, 9.302676454425166;"{""coordinates"": [9.302676454425166, 47.40238630050826], ""type"": ""Point""}";Altwinkelnstrasse 11;1
47.40187563281267, 9.302679908618137;"{""coordinates"": [9.302679908618137, 47.40187563281267], ""type"": ""Point""}";Altwinkelnstrasse 19;1
47.43841743523036, 9.395435340086062;"{""coordinates"": [9.395435340086062, 47.43841743523036], ""type"": ""Point""}";Heiligkreuzstrasse 20;1
47.44078743749475, 9.409344314811202;"{""coordinates"": [9.409344314811202, 47.44078743749475], ""type"": ""Point""}";Oberzilstrasse 2;1
47.41148392288326, 9.36249324927735;"{""coordinates"": [9.36249324927735, 47.41148392288326], ""type"": ""Point""}";Solitüdenstrasse 23;1
47.4337265452606, 9.396065759009606;"{""coordinates"": [9.396065759009606, 47.4337265452606], ""type"": ""Point""}";Lindenstrasse 86;1
47.41757385120115, 9.356886633341928;"{""coordinates"": [9.356886633341928, 47.41757385120115], ""type"": ""Point""}";Salisstrasse/Schillerstrasse;1
47.40122256022204, 9.301940172876877;"{""coordinates"": [9.301940172876877, 47.40122256022204], ""type"": ""Point""}";Blériotweg 7/9;1
47.4427216831667, 9.40156122072508;"{""coordinates"": [9.40156122072508, 47.4427216831667], ""type"": ""Point""}";Quellenstrasse 1;1
47.43563031217591, 9.390220357286038;"{""coordinates"": [9.390220357286038, 47.43563031217591], ""type"": ""Point""}";Kolumbanstrasse 6;1
47.42175351409187, 9.350851697970473;"{""coordinates"": [9.350851697970473, 47.42175351409187], ""type"": ""Point""}";Rosenfeldweg 9;1
47.4223190634731, 9.358435146282027;"{""coordinates"": [9.358435146282027, 47.4223190634731], ""type"": ""Point""}";Furglerstrasse;1
47.419657294081354, 9.35565125818522;"{""coordinates"": [9.35565125818522, 47.419657294081354], ""type"": ""Point""}";Vonwilstrasse 51;1
47.40929548405511, 9.333631508814396;"{""coordinates"": [9.333631508814396, 47.40929548405511], ""type"": ""Point""}";Distelistrasse 5;1
47.42275497516839, 9.358871252815296;"{""coordinates"": [9.358871252815296, 47.42275497516839], ""type"": ""Point""}";Furglerstrasse/Dufourstrasse;1
47.438838774087, 9.405651189149093;"{""coordinates"": [9.405651189149093, 47.438838774087], ""type"": ""Point""}";Lindenstrasse 169;1
47.412742757924654, 9.35437505134181;"{""coordinates"": [9.35437505134181, 47.412742757924654], ""type"": ""Point""}";Ruhsitzstrasse 17;1
47.41376236369734, 9.349543825497058;"{""coordinates"": [9.349543825497058, 47.41376236369734], ""type"": ""Point""}";Fürstenlandstrasse 41;1
47.44860365817141, 9.397512575100496;"{""coordinates"": [9.397512575100496, 47.44860365817141], ""type"": ""Point""}";Langgasse 151;1
47.417817540018085, 9.360419323326765;"{""coordinates"": [9.360419323326765, 47.417817540018085], ""type"": ""Point""}";Ilgenstrasse / Grenzstrasse 3;1
47.405102810308065, 9.325169504422817;"{""coordinates"": [9.325169504422817, 47.405102810308065], ""type"": ""Point""}";Lehnstrasse 94;1
47.424597774631195, 9.366410523753348;"{""coordinates"": [9.366410523753348, 47.424597774631195], ""type"": ""Point""}";Zwinglistrasse / Melchtalstrasse;1
47.41381715841634, 9.332573787004714;"{""coordinates"": [9.332573787004714, 47.41381715841634], ""type"": ""Point""}";Ullmannstrasse 23;1
47.420942795047964, 9.354306944184922;"{""coordinates"": [9.354306944184922, 47.420942795047964], ""type"": ""Point""}";Gerbestrasse 14;1
47.43841578208038, 9.382436506552164;"{""coordinates"": [9.382436506552164, 47.43841578208038], ""type"": ""Point""}";Hölderlinstrasse 8;1
47.417476478850645, 9.349428620072972;"{""coordinates"": [9.349428620072972, 47.417476478850645], ""type"": ""Point""}";Leuenbergerstrasse 2;1
47.43555098881224, 9.404150377106378;"{""coordinates"": [9.404150377106378, 47.43555098881224], ""type"": ""Point""}";Grünaustrasse / Rorschacher Strasse 234;1
47.43412810339173, 9.40390060086284;"{""coordinates"": [9.40390060086284, 47.43412810339173], ""type"": ""Point""}";Grütlistrasse 14;1
47.406350507879274, 9.304352070860896;"{""coordinates"": [9.304352070860896, 47.406350507879274], ""type"": ""Point""}";Kunklerstrasse 1;1
47.40822609475522, 9.308562407197135;"{""coordinates"": [9.308562407197135, 47.40822609475522], ""type"": ""Point""}";Alte Bildstrasse;1
47.427850615501825, 9.364605721264043;"{""coordinates"": [9.364605721264043, 47.427850615501825], ""type"": ""Point""}";Schorenstrasse 30;1
47.43608704148864, 9.402889116381026;"{""coordinates"": [9.402889116381026, 47.43608704148864], ""type"": ""Point""}";Brauerstrasse 34;1
47.437485244002524, 9.40402998359197;"{""coordinates"": [9.40402998359197, 47.437485244002524], ""type"": ""Point""}";Brauerstrasse 51 / Lukasstrasse;1
47.42147376507094, 9.377659635954956;"{""coordinates"": [9.377659635954956, 47.42147376507094], ""type"": ""Point""}";Felsenstrasse / Berneggstrasse;1
47.44118436900995, 9.418274638617747;"{""coordinates"": [9.418274638617747, 47.44118436900995], ""type"": ""Point""}";Schuppisstrasse 8;1
47.43755493708894, 9.402770498286504;"{""coordinates"": [9.402770498286504, 47.43755493708894], ""type"": ""Point""}";Lukasstrasse 58;1
47.410299444890214, 9.366167283800129;"{""coordinates"": [9.366167283800129, 47.410299444890214], ""type"": ""Point""}";Im Grund / Teufener Strasse 156a;1
47.43721796586228, 9.412664012308111;"{""coordinates"": [9.412664012308111, 47.43721796586228], ""type"": ""Point""}";Favrestrasse 17;1
47.42744244804617, 9.38506425630952;"{""coordinates"": [9.38506425630952, 47.42744244804617], ""type"": ""Point""}";Hintere Singenbergstrasse;1
47.42569342587728, 9.362250554780232;"{""coordinates"": [9.362250554780232, 47.42569342587728], ""type"": ""Point""}";Dietlistrasse 35;1
47.43502988202969, 9.400862937904169;"{""coordinates"": [9.400862937904169, 47.43502988202969], ""type"": ""Point""}";Rosengartenstr. 29;1
47.44245071925016, 9.412277463088467;"{""coordinates"": [9.412277463088467, 47.44245071925016], ""type"": ""Point""}";Zilstrasse 76;1
47.43489502031073, 9.413289581658711;"{""coordinates"": [9.413289581658711, 47.43489502031073], ""type"": ""Point""}";Oberhaldenstrasse Wendeplatz;1
47.431904344706986, 9.402139661163627;"{""coordinates"": [9.402139661163627, 47.431904344706986], ""type"": ""Point""}";Rappensteinstrasse 40;1
47.42238388338925, 9.376658364266342;"{""coordinates"": [9.376658364266342, 47.42238388338925], ""type"": ""Point""}";Gallusplatz;1
47.42697740161507, 9.38817256244687;"{""coordinates"": [9.38817256244687, 47.42697740161507], ""type"": ""Point""}";Flurhofstrasse 10;1
47.40687695423581, 9.339745517730288;"{""coordinates"": [9.339745517730288, 47.40687695423581], ""type"": ""Point""}";Bernhardswiesstrasse 34;1
47.43673249718894, 9.407464284769013;"{""coordinates"": [9.407464284769013, 47.43673249718894], ""type"": ""Point""}";Martinsbruggstrasse 15;1
47.43598767866483, 9.395933067850516;"{""coordinates"": [9.395933067850516, 47.43598767866483], ""type"": ""Point""}";Heiligkreuzstrasse 5;1
47.446405923426475, 9.39603232223225;"{""coordinates"": [9.39603232223225, 47.446405923426475], ""type"": ""Point""}";Bruggwaldstrasse 40;1
47.41061558616237, 9.334985472240357;"{""coordinates"": [9.334985472240357, 47.41061558616237], ""type"": ""Point""}";Alpsteinstrasse 3;1
47.41419540729972, 9.341584445057263;"{""coordinates"": [9.341584445057263, 47.41419540729972], ""type"": ""Point""}";Eisbahnstrasse 9;1
47.4200722096285, 9.353823223408822;"{""coordinates"": [9.353823223408822, 47.4200722096285], ""type"": ""Point""}";Ulmenstrasse 9;1
47.40231004814746, 9.332593862288766;"{""coordinates"": [9.332593862288766, 47.40231004814746], ""type"": ""Point""}";Wolfgangstrasse 75;1
47.406105244336224, 9.32971896553341;"{""coordinates"": [9.32971896553341, 47.406105244336224], ""type"": ""Point""}";Lehnstrasse 40;1
