Datum;Monat;Jahr;Meldung von;Sammlung;Abfallart;illegal / zu früh (falsche);Menge;Einheit;Strasse;Abfuhrgebiet;Ergebnis der Meldung;"Anzahl
Ergebnise";Bemerkung;Ort
2021-01-04;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Fuchsenstrasse;K;unbe_kannt;1.0;eine Matratze;St. Gallen
2021-01-04;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;70.0;Liter;Langgasse;G;unbe_kannt;1.0;zwei Säcke;St. Gallen
2021-01-04;Jan.21;2021;Kontrollfahrt;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;60.0;Liter;Burgstrasse;B;anzeige;1.0;ein Sack;St. Gallen
2021-01-04;Jan.21;2021;Kontrollfahrt;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Langgasse;G;unbe_kannt;1.0;Möbel;St. Gallen
2021-01-05;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;0.0;kg;Gsellstrasse;A;privat_retour;1.0;Kreuzbühlstrasse, ein Bürostuhl;St. Gallen
2021-01-07;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;105.0;Liter;Linsebühlstrasse;I;unbe_kannt;1.0;drei Säcke;St. Gallen
2021-01-07;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;0.0;kg;Felsenstrasse;F;privat_retour;1.0;nach Heim Sperrgut;St. Gallen
2021-01-08;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Talstrasse;H;info;1.0;zuwenig Sperrgutmarken;St. Gallen
2021-01-08;Jan.21;2021;Kontrollfahrt;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;60.0;Liter;Rorschacher Strasse;I;unbe_kannt;1.0;ein Sack;St. Gallen
2021-01-12;Jan.21;2021;Kontrollfahrt;Kehrichtsammlung;Sperrgut;illegal;150.0;kg;Oberstrasse;E;unbe_kannt;1.0;Ecke Ruhsitzstrasse;St. Gallen
2021-01-12;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;105.0;Liter;Kräzernstrasse;A;anzeige;1.0;drei Säcke;St. Gallen
2021-01-12;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Burgstrasse;B;anzeige;1.0;;St. Gallen
2021-01-13;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Grünaustrasse;K;unbe_kannt;1.0;;St. Gallen
2021-01-13;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Reherstrasse;K;unbe_kannt;1.0;ein Lattenrost;St. Gallen
2021-01-14;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Rickenstrasse;E;unbe_kannt;1.0;ein Teppich;St. Gallen
2021-01-19;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;0.0;Liter;Fürstenlandstrasse;B;privat_retour;1.0;zwei Säcke;St. Gallen
2021-01-25;Jan.21;2021;Dispo;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;100.0;Liter;Ulmenstrasse;B;unbe_kannt;1.0;5 Tragtaschen;St. Gallen
2021-01-26;Jan.21;2021;Kehricht-Sammeldienst;Unterflurbehälter;Kehrichtsack ohne Gebühr;illegal;70.0;Liter;Kräzernstrasse;A;unbe_kannt;1.0;;St. Gallen
2021-01-29;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;35.0;Liter;Brauerstrasse;H;unbe_kannt;1.0;ein Sack;St. Gallen
2021-01-29;Jan.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Brauerstrasse;H;unbe_kannt;1.0;ein Tisch;St. Gallen
2021-01-29;Jan.21;2021;Kehricht-Sammeldienst;Unterflurbehälter;Kehrichtsack ohne Gebühr;illegal;60.0;Liter;Dianastrasse;D;unbe_kannt;1.0;ein Sack;St. Gallen
2021-01-29;Jan.21;2021;Kontrollfahrt;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;100.0;Liter;Langgasse;G;unbe_kannt;1.0;fünf Tragtaschen;St. Gallen
2021-01-29;Jan.21;2021;Papier/Karton-Sammeldienst;Kartonsammlung;Fremdstoffe in Sammelware;illegal;0.0;m3;Lustgartenstrasse;B;privat_retour;1.0;Sagex, Plastik, Elektro;St. Gallen
2021-02-02;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;0.0;kg;Burgstrasse;B;privat_retour;1.0;;St. Gallen
2021-02-02;Feb.21;2021;Dispo;Papiersammlung;Fremdstoffe in Sammelware;illegal;0.1;m3;Fähnernstrasse;E;unbe_kannt;1.0;Karton;St. Gallen
2021-02-02;Feb.21;2021;Papier/Karton-Sammeldienst;Papiersammlung;Fremdstoffe in Sammelware;illegal;0.0;m3;Splügenstrasse;G;privat_retour;1.0;Karton;St. Gallen
2021-02-03;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;35.0;Liter;Rosenbergstrasse;C;unbe_kannt;1.0;ein Sack;St. Gallen
2021-02-03;Feb.21;2021;Kehricht-Sammeldienst;Unterflurbehälter;Sperrgut;illegal;100.0;kg;Rosenbergweg;C;unbe_kannt;1.0;Sperrgut mit zuwenig Marken;St. Gallen
2021-02-03;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;50.0;kg;Sonnenhaldenstrasse;D;unbe_kannt;1.0;;St. Gallen
2021-02-03;Feb.21;2021;Stapo;Kehrichtsammlung;Sperrgut;illegal;0.0;kg;Dufourstrasse 39-161;C;privat_retour;1.0;;St. Gallen
2021-02-04;Feb.21;2021;Kehricht-Sammeldienst;Unterflurbehälter;Kehrichtsack ohne Gebühr;illegal;35.0;Liter;Lehnstrasse;E;unbe_kannt;1.0;ein Sack;St. Gallen
2021-02-05;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;80.0;Liter;Langgasse;G;unbe_kannt;1.0;diverse Plastiksäcke + Tragtaschen;St. Gallen
2021-02-08;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Tempelackerstrasse;I;unbe_kannt;1.0;;St. Gallen
2021-02-08;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;0.0;kg;Rorschacher Strasse;K;privat_retour;1.0;;St. Gallen
2021-02-08;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;zu frühe Bereitstellung;falsche;105.0;Liter;Buchentalstrasse;H;info;1.0;;St. Gallen
2021-02-08;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Konkordiastrasse;I;unbe_kannt;1.0;4 Stühle;St. Gallen
2021-02-09;Feb.21;2021;Kehricht-Sammeldienst;Unterflurbehälter;Sperrgut;illegal;100.0;kg;Leuenbergerstrasse;B;unbe_kannt;1.0;;St. Gallen
2021-02-09;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;0.0;Liter;Waldaustrasse;B;privat_retour;1.0;ein Sack;St. Gallen
2021-02-09;Feb.21;2021;Kehricht-Sammeldienst;Unterflurbehälter;Kehrichtsack ohne Gebühr;illegal;105.0;Liter;Kräzernstrasse;A;unbe_kannt;1.0;drei Säcke;St. Gallen
2021-02-09;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Kehrichtsack ohne Gebühr;illegal;35.0;Liter;Paradiesstrasse;B;anzeige;1.0;ein Sack;St. Gallen
2021-02-09;Feb.21;2021;Kehricht-Sammeldienst;Kehrichtsammlung;Sperrgut;illegal;100.0;kg;Fürstenlandstrasse;B;unbe_kannt;1.0;;St. Gallen
2021-02-10;Feb.21;2021;Kehricht-Sammeldienst;Unterflurbehälter;Kehrichtsack ohne Gebühr;illegal;35.0;Liter;Iddastrasse;D;unbe_kannt;1.0;ein Sack;St. Gallen
2021-02-11;Feb.21;2021;Kehricht-Sammeldienst;Unterflurbehälter;Kehrichtsack ohne Gebühr;illegal;35.0;Liter;Fellenbergstrasse;E;unbe_kannt;1.0;ein Sack;St. Gallen
